"Dia-Mes","Temperatura media","Fecha Momento minima","Temperatura minima","Fecha Momento maxima","Temperatura maxima"
"5-Abr","15.8","5/4/2014","7.3","5/4/2019","28.9"
"6-Abr","15.8","6/4/2022","6.5","6/4/2019","34"
"7-Abr","16.4","7/4/2005","7.8","7/4/2007","30.4"
"8-Abr","15.3","8/4/1999","7.6","8/4/2004","28.4"
"9-Abr","14.4","9/4/2023","7.2","9/4/1995","29.4"
"10-Abr","15.6","10/4/1999","6","10/4/1997","33.4"
"11-Abr","15.1","11/4/2024","6.4","11/4/1995","29.3"
"12-Abr","14.4","12/4/1999","6.8","12/4/2007","27.2"
"13-Abr","14.6","13-04-2018","7","13-04-2014","31.9"
"14-Abr","14.8","14-04-2018","6.8","14-04-2014","27"
"15-Abr","14.2","15-04-2006","6.5","15-04-2019","28.2"
"16-Abr","14.7","16-04-2008","6.4","16-04-1999","30"
"17-Abr","15.5","17-04-2022","7.3","17-04-2024","30.4"
"18-Abr","14.9","18-04-2006","5.3","18-04-2009","28.8"
"19-Abr","15.2","19-04-2002","6.3","19-04-2023","29.5"
"20-Abr","14.8","20-04-1999","7.8","20-04-2009","27.8"
"21-Abr","14.5","21-04-2005","7.2","21-04-2009","29.2"
"22-Abr","14.3","22-04-1996","6","22-04-2006","28.2"
"23-Abr","14.2","23-04-1998","7.1","23-04-1999","28.4"
"24-Abr","13.5","24-04-2007","5.7","24-04-2011","25.2"
"25-Abr","13.4","25-04-2010","4.7","25-04-2006","25.6"
"26-Abr","14","26-04-2010","5.8","26-04-2002","28"
"27-Abr","14","27-04-2001","6.2","27-04-1997","28.9"
"28-Abr","14.6","28-04-2001","4.9","28-04-1997","29.8"
"29-Abr","14.4","29-04-2001","4","29-04-2005","28.1"
"30-Abr","14.4","30-04-2001","6.5","30-04-2016","28.4"
"1-May","13.9","1/5/2001","5.2","1/5/2019","27.4"
"2-May","14.4","2/5/2023","6.2","2/5/1997","28"
"3-May","14.3","3/5/2024","4.8","3/5/2016","27.1"
"4-May","13.7","4/5/2000","6","4/5/2011","25.2"
"5-May","13.6","5/5/2004","6","5/5/2013","29.2"
"6-May","14.1","6/5/2005","6.4","6/5/2020","28.6"
"7-May","13.4","7/5/2006","5.1","7/5/1999","29.8"
"8-May","13","8/5/2024","3.6","8/5/2010","27"
"9-May","12.8","9/5/2006","4.8","9/5/2023","27.6"
"10-May","13.6","10/5/2008","5.6","10/5/1996","27.2"
"11-May","13.2","11/5/2001","5","11/5/2023","29"
"12-May","12.7","12/5/2024","4.5","12/5/2023","30.9"
"13-May","12.7","13-05-1995","3.8","13-05-2015","23.5"
"14-May","12.7","14-05-2024","4.7","14-05-2020","24.5"
"15-May","12.7","15-05-2013","4.8","15-05-2020","30.2"
"16-May","13.2","16-05-2003","5.2","16-05-2020","29.1"
"17-May","12.3","17-05-2007","4","17-05-1995","24.4"
"18-May","12.5","18-05-2007","4.2","18-05-1995","24.4"
"19-May","12.3","19-05-2017","4.1","19-05-2018","27.8"
"20-May","12.6","20-05-2005","5","20-05-2018","27.1"
"21-May","12.6","21-05-2019","2.9","21-05-2009","26.9"
"22-May","12.7","22-05-2007","4.4","22-05-2020","24.8"
"23-May","13.1","23-05-2010","4.2","23-05-2006","25.8"
"24-May","12.9","24-05-2015","5.3","24-05-2020","31"
"25-May","12.6","25-05-2004","4","25-05-2020","35.3"
"26-May","12.7","26-05-2015","5.3","26-05-2021","27.7"
"27-May","12.8","27-05-2011","3.5","27-05-2014","26.8"
"28-May","11.9","28-05-2007","5","28-05-1995","22.1"
"29-May","12.3","29-05-2022","3.5","29-05-1995","23"
"30-May","12.9","30-05-2022","2.7","30-05-2024","24.7"
"31-May","12.2","31-05-2022","2.6","31-05-2021","25.6"
"1-Jun","12.4","1/6/2022","2.7","1/6/2012","27"
"2-Jun","12.9","2/6/2018","2.6","2/6/2021","24.5"
"3-Jun","12.6","3/6/2018","4.8","3/6/2019","24.7"
"4-Jun","12.4","4/6/2001","3.6","4/6/2013","26"
"5-Jun","12.2","5/6/2012","4","5/6/2010","24.6"
"6-Jun","12.2","6/6/2017","3.9","6/6/2013","25.2"
"7-Jun","11.9","7/6/2017","3.3","7/6/2018","24.4"
"8-Jun","11.5","8/6/2010","5.2","8/6/2019","22.4"
"9-Jun","12","9/6/2013","5","9/6/2009","21.6"
"10-Jun","11.5","10/6/2004","4.4","10/6/2011","23.5"
"11-Jun","11.2","11/6/2023","2.9","11/6/2021","27.4"
"12-Jun","11.2","12/6/2023","2.2","12/6/1995","24"
"13-Jun","11.2","13-06-2018","2.3","13-06-1995","26.1"
"14-Jun","11.4","14-06-2018","3.4","14-06-2004","22.4"
"15-Jun","11.8","15-06-2007","3.2","15-06-2023","23.6"
"16-Jun","11.7","16-06-2001","4.6","16-06-2014","26.6"
"17-Jun","11.2","17-06-1996","2.8","17-06-2014","28.8"
"18-Jun","11.2","18-06-1996","2.8","18-06-2015","26.4"
"19-Jun","11.5","19-06-2013","1.5","19-06-2019","26.4"
"20-Jun","11.4","20-06-2013","3.2","20-06-2015","26.9"
